model_tag,method,tier,metric,mean,ci_low,ci_high,n
mistral7b_v03,direct,tier2_llmbar,OSR,0.345,0.3125,0.3775,800
mistral7b_v03,direct,tier2_llmbar,POR_C,0.5181159420289855,0.4601449275362319,0.5760869565217391,276
mistral7b_v03,direct,tier2_llmbar,POR_NC,,,,0
mistral7b_v03,direct,tier2_llmbar,HHR,0.979381443298969,0.9484536082474226,1.0,97
mistral7b_v03,direct,tier2_llmbar,RSR,0.020618556701030927,0.0,0.05154639175257732,97
mistral7b_v03,direct,tier2_llmbar,PSR,1.0,1.0,1.0,75
mistral7b_v03,locked,all,OSR,0.594625,0.584,0.60525,8000
mistral7b_v03,locked,all,POR_C,0.6731813246471227,0.6579804560260586,0.6881107491856677,3684
mistral7b_v03,locked,all,POR_NC,1.0,1.0,1.0,1073
mistral7b_v03,locked,all,HHR,0.997411561691113,0.993960310612597,1.0,1159
mistral7b_v03,locked,all,RSR,0.0008628127696289905,0.0,0.0025884383088869713,1159
mistral7b_v03,locked,all,PSR,0.9995433789954338,0.9986301369863013,1.0,2190
mistral7b_v03,locked,tier1,OSR,0.6241666666666666,0.6129166666666667,0.6354166666666666,7200
mistral7b_v03,locked,tier1,POR_C,0.6863490207541655,0.6708564747149957,0.701549254603917,3421
mistral7b_v03,locked,tier1,POR_NC,1.0,1.0,1.0,1073
mistral7b_v03,locked,tier1,HHR,1.0,1.0,1.0,1073
mistral7b_v03,locked,tier1,RSR,0.0,0.0,0.0,1073
mistral7b_v03,locked,tier1,PSR,1.0,1.0,1.0,2102
mistral7b_v03,locked,tier2_llmbar,OSR,0.32875,0.295,0.36125,800
mistral7b_v03,locked,tier2_llmbar,POR_C,0.5019011406844106,0.44106463878326996,0.5627376425855514,263
mistral7b_v03,locked,tier2_llmbar,POR_NC,,,,0
mistral7b_v03,locked,tier2_llmbar,HHR,0.9651162790697675,0.9186046511627907,1.0,86
mistral7b_v03,locked,tier2_llmbar,RSR,0.011627906976744186,0.0,0.03488372093023256,86
mistral7b_v03,locked,tier2_llmbar,PSR,0.9886363636363636,0.9659090909090909,1.0,88
qwen25_3b,conflict_audit,all,OSR,0.592125,0.5815,0.602875,8000
qwen25_3b,conflict_audit,all,POR_C,0.5223260643821391,0.5067497403946002,0.5376492731048805,3852
qwen25_3b,conflict_audit,all,POR_NC,0.9966101694915255,0.992090395480226,1.0,885
qwen25_3b,conflict_audit,all,HHR,1.0,1.0,1.0,1746
qwen25_3b,conflict_audit,all,RSR,0.0,0.0,0.0,1746
qwen25_3b,conflict_audit,all,PSR,0.9981051634296542,0.9962103268593084,0.9995262908574135,2111
qwen25_3b,conflict_audit,tier1,OSR,0.62375,0.6125,0.6347222222222222,7200
qwen25_3b,conflict_audit,tier1,POR_C,0.5232945091514143,0.5069328896283971,0.5393857459789239,3606
qwen25_3b,conflict_audit,tier1,POR_NC,0.9966101694915255,0.992090395480226,1.0,885
qwen25_3b,conflict_audit,tier1,HHR,1.0,1.0,1.0,1630
qwen25_3b,conflict_audit,tier1,RSR,0.0,0.0,0.0,1630
qwen25_3b,conflict_audit,tier1,PSR,0.998014888337469,0.996029776674938,0.9995037220843672,2015
qwen25_3b,conflict_audit,tier2_llmbar,OSR,0.3075,0.27625,0.34,800
qwen25_3b,conflict_audit,tier2_llmbar,POR_C,0.508130081300813,0.44715447154471544,0.5691056910569106,246
qwen25_3b,conflict_audit,tier2_llmbar,POR_NC,,,,0
qwen25_3b,conflict_audit,tier2_llmbar,HHR,1.0,1.0,1.0,116
qwen25_3b,conflict_audit,tier2_llmbar,RSR,0.0,0.0,0.0,116
qwen25_3b,conflict_audit,tier2_llmbar,PSR,1.0,1.0,1.0,96
qwen25_3b,context_forward,all,OSR,0.81125,0.79875,0.82325,4000
qwen25_3b,context_forward,all,POR_C,0.5029112081513828,0.48435225618631733,0.5218340611353712,2748
